,job_id,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,workflow_type,scheduler_type,slowdown,response_time,num_activation_dags
0,0,150,6000,5,0,centralheft,29.181711135316664,534.025313776295,1729
1,1,150,6000,5,2,centralheft,501.97782196583836,5772.744952607141,1729
2,2,150,6000,5,3,centralheft,155.00891886002077,6990.902240586936,1729
3,3,150,6000,5,1,centralheft,289.56717637913397,8687.015291374018,1729
4,4,150,6000,5,1,centralheft,290.200005880375,8706.00017641125,1729
5,5,150,6000,5,0,centralheft,29.85308989775916,546.3115451289926,1729
6,6,150,6000,5,0,centralheft,31.587998496467545,578.0603724853561,1729
7,7,150,6000,5,3,centralheft,182.06914257650783,8211.318330200504,1729
8,8,150,6000,5,2,centralheft,554.808570408047,6380.29855969254,1729
9,9,150,6000,5,0,centralheft,33.772283875701866,618.0327949253442,1729
10,10,150,6000,5,3,centralheft,182.41101871639466,8226.7369441094,1729
11,11,150,6000,5,3,centralheft,182.7787863591742,8243.323264798757,1729
12,12,150,6000,5,1,centralheft,294.38402697396873,8831.520809219062,1729
13,13,150,6000,5,2,centralheft,555.6396422828905,6389.855886253241,1729
14,14,150,6000,5,2,centralheft,555.6191362612573,6389.620067004459,1729
15,15,150,6000,5,3,centralheft,183.01137736194215,8253.81311902359,1729
16,16,150,6000,5,3,centralheft,183.09264551582496,8257.478312763706,1729
17,17,150,6000,5,1,centralheft,294.37444285375045,8831.233285612514,1729
18,18,150,6000,5,3,centralheft,163.56426980119582,7376.748568033932,1729
19,19,150,6000,5,2,centralheft,555.2126436435835,6384.945401901211,1729
20,20,150,6000,5,0,centralheft,34.122574583070474,624.4431148701897,1729
21,21,150,6000,5,0,centralheft,34.79380740821562,636.7266755703458,1729
22,22,150,6000,5,0,centralheft,35.53621797788706,650.3127889953333,1729
23,23,150,6000,5,2,centralheft,554.4944125249693,6376.685744037148,1729
24,24,150,6000,5,0,centralheft,36.997215037149736,677.0490351798402,1729
25,25,150,6000,5,0,centralheft,37.98351224098732,695.0982740100679,1729
26,26,150,6000,5,2,centralheft,554.2423730281931,6373.78728982422,1729
27,27,150,6000,5,2,centralheft,554.2273322797395,6373.614321217004,1729
28,28,150,6000,5,0,centralheft,38.56724250652444,705.7805378693972,1729
29,29,150,6000,5,0,centralheft,39.25591524509256,718.3832489851939,1729
30,30,150,6000,5,1,centralheft,497.7189057559054,14931.567172677162,1729
31,31,150,6000,5,1,centralheft,497.65678132562914,14929.703439768875,1729
32,32,150,6000,5,3,centralheft,165.110924412205,7446.502690990446,1729
33,33,150,6000,5,0,centralheft,39.72961584657754,727.051969992369,1729
34,34,150,6000,5,1,centralheft,497.5344295096443,14926.032885289329,1729
35,35,150,6000,5,3,centralheft,165.4311878492359,7460.946572000539,1729
36,36,150,6000,5,0,centralheft,40.19289764999068,735.5300269948294,1729
37,37,150,6000,5,2,centralheft,553.5490614591338,6365.814206780039,1729
