,job_id,load_info_delay,placement_info_delay,req_inter_arrival_delay,workflow_type,scheduler_type,slowdown,response_time,num_activation_dags
0,0,0,0,5,0,decentralheft,9.811324524766915,179.54723880323456,1836
1,1,0,0,5,2,decentralheft,69.58232198842208,800.1967028668539,1836
2,2,0,0,5,3,decentralheft,37.392179433310254,1686.3872924422924,1836
3,3,0,0,5,1,decentralheft,94.39570909042119,2831.871272712636,1836
4,4,0,0,5,2,decentralheft,69.57941268851144,800.1632459178816,1836
5,5,0,0,5,1,decentralheft,94.38774415521057,2831.632324656317,1836
6,6,0,0,5,2,decentralheft,69.46438207979404,798.8403939176313,1836
7,7,0,0,5,3,decentralheft,38.702132538348614,1745.4661774795227,1836
8,8,0,0,5,0,decentralheft,10.231337166990828,187.23347015593217,1836
9,9,0,0,5,0,decentralheft,10.699380540767491,195.7986638960451,1836
10,10,0,0,5,0,decentralheft,11.214857664644198,205.23189526298884,1836
11,11,0,0,5,2,decentralheft,70.35063027325788,809.0322481424656,1836
12,12,0,0,5,1,decentralheft,94.22718654239276,2826.815596271783,1836
13,13,0,0,5,1,decentralheft,94.21005698989234,2826.30170969677,1836
14,14,0,0,5,1,decentralheft,117.6939278764853,3530.817836294559,1836
15,15,0,0,5,2,decentralheft,73.05284337672796,840.1076988323716,1836
16,16,0,0,5,2,decentralheft,73.03780262827428,839.9347302251542,1836
17,17,0,0,5,2,decentralheft,71.09587358347417,817.602546209953,1836
18,18,0,0,5,3,decentralheft,37.03409625444908,1670.2377410756535,1836
19,19,0,0,5,1,decentralheft,107.59468661938523,3227.840598581557,1836
20,20,0,0,5,3,decentralheft,37.55808113682081,1693.8694592706186,1836
21,21,0,0,5,2,decentralheft,70.62376236670679,812.173267217128,1836
22,22,0,0,5,1,decentralheft,105.01491391178115,3150.4474173534345,1836
23,23,0,0,5,2,decentralheft,70.36420146652978,809.1883168650925,1836
24,24,0,0,5,0,decentralheft,10.813046095665737,197.878743550683,1836
25,25,0,0,5,0,decentralheft,12.895612436595451,235.98970758969676,1836
26,26,0,0,5,0,decentralheft,13.465090925954046,246.41116394495904,1836
27,27,0,0,5,2,decentralheft,69.18032089102711,795.5736902468118,1836
28,28,0,0,5,2,decentralheft,71.38774908457674,820.9591144726326,1836
29,29,0,0,5,1,decentralheft,108.51435825627742,3255.4307476883228,1836
30,30,0,0,5,1,decentralheft,106.74446590440733,3202.33397713222,1836
31,31,0,0,5,2,decentralheft,71.07904203472522,817.4089833993401,1836
32,32,0,0,5,1,decentralheft,106.71435868895018,3201.4307606685056,1836
33,33,0,0,5,1,decentralheft,106.63063685521708,3198.9191056565123,1836
34,34,0,0,5,1,decentralheft,106.62971395182107,3198.8914185546323,1836
35,35,0,0,5,3,decentralheft,37.55222668751524,1693.6054236069374,1836
36,36,0,0,5,1,decentralheft,106.5927643514355,3197.782930543065,1836
37,37,0,0,5,0,decentralheft,13.72702337200743,251.204527707736,1836
38,38,0,0,5,0,decentralheft,14.376233024352722,263.0850643456548,1836
39,39,0,0,5,1,decentralheft,106.43754722010323,3193.126416603097,1836
40,40,0,0,5,3,decentralheft,36.64472525638575,1652.6771090629973,1836
41,41,0,0,5,3,decentralheft,27.715579119331085,1249.972618281832,1836
42,42,0,0,5,1,decentralheft,106.27483035481784,3188.244910644535,1836
43,43,0,0,5,3,decentralheft,37.65520962171183,1698.2499539392038,1836
44,44,0,0,5,3,decentralheft,38.30696128868216,1727.6439541195655,1836
45,45,0,0,5,0,decentralheft,14.473328726642567,264.86191569755897,1836
46,46,0,0,5,1,decentralheft,106.19685105749154,3185.905531724746,1836
47,47,0,0,5,3,decentralheft,38.95008034263156,1756.6486234526833,1836
48,48,0,0,5,2,decentralheft,68.19745605953028,784.2707446845983,1836
49,49,0,0,5,3,decentralheft,53.15766098887435,2397.410510598233,1836
50,50,0,0,5,2,decentralheft,67.90162356756929,780.8686710270468,1836
51,51,0,0,5,2,decentralheft,67.89077670931272,780.7439321570962,1836
52,52,0,0,5,2,decentralheft,67.79264850641978,779.6154578238275,1836
53,53,0,0,5,1,decentralheft,107.40969492587874,3222.290847776362,1836
54,54,0,0,5,3,decentralheft,53.266290390316286,2402.3096966032645,1836
55,55,0,0,5,3,decentralheft,53.33649672923166,2405.476002488348,1836
56,56,0,0,5,2,decentralheft,67.35311391905996,774.5608100691896,1836
57,57,0,0,5,2,decentralheft,67.24045794721324,773.2652663929523,1836
58,58,0,0,5,1,decentralheft,110.56011967639263,3316.803590291779,1836
59,59,0,0,5,3,decentralheft,53.352440920422076,2406.195085511036,1836
60,60,0,0,5,0,decentralheft,14.269689118827772,261.1353108745482,1836
61,61,0,0,5,2,decentralheft,67.87705092135306,780.5860855955602,1836
62,62,0,0,5,2,decentralheft,67.24045794721324,773.2652663929523,1836
63,63,0,0,5,0,decentralheft,14.873571856098765,272.1863649666074,1836
64,64,0,0,5,3,decentralheft,53.36453769642157,2406.740650108613,1836
65,65,0,0,5,0,decentralheft,15.77506935846453,288.6837692599009,1836
66,66,0,0,5,3,decentralheft,53.431318637826166,2409.7524705659603,1836
67,67,0,0,5,1,decentralheft,110.2060913740193,3306.182741220579,1836
68,68,0,0,5,1,decentralheft,110.17610612616632,3305.2831837849894,1836
69,69,0,0,5,0,decentralheft,16.14199348612884,295.3984807961578,1836
70,70,0,0,5,1,decentralheft,110.08606057267987,3302.5818171803962,1836
71,71,0,0,5,2,decentralheft,66.35008782279324,763.0260099621223,1836
72,72,0,0,5,1,decentralheft,110.01740914270279,3300.522274281084,1836
73,73,0,0,5,2,decentralheft,66.2701431664181,762.1066464138081,1836
74,74,0,0,5,0,decentralheft,16.338968297536407,299.0031198449163,1836
75,75,0,0,5,0,decentralheft,16.778062204897306,307.03853834962075,1836
76,76,0,0,5,2,decentralheft,67.12007359989084,771.8808463987448,1836
77,77,0,0,5,1,decentralheft,109.89550034174277,3296.8650102522834,1836
78,78,0,0,5,3,decentralheft,53.31476154560002,2404.495745706561,1836
79,79,0,0,5,0,decentralheft,17.217936168014194,315.08823187465975,1836
80,80,0,0,5,1,decentralheft,109.83962539567925,3295.1887618703777,1836
81,81,0,0,5,3,decentralheft,53.52647874415665,2414.044191361465,1836
82,82,0,0,5,1,decentralheft,109.78518774217754,3293.555632265326,1836
83,83,0,0,5,0,decentralheft,17.54620949237768,321.09563371051155,1836
84,84,0,0,5,2,decentralheft,72.76045068229634,836.7451828464078,1836
85,85,0,0,5,3,decentralheft,53.610061630538446,2417.813779537284,1836
86,86,0,0,5,1,decentralheft,109.65901890233381,3289.7705670700143,1836
87,87,0,0,5,3,decentralheft,53.6608945432307,2420.1063438997044,1836
88,88,0,0,5,2,decentralheft,65.6163902440938,754.5884878070786,1836
89,89,0,0,5,3,decentralheft,53.69244158666991,2421.529115558813,1836
90,90,0,0,5,1,decentralheft,109.44189408091843,3283.256822427553,1836
91,91,0,0,5,2,decentralheft,69.93227096872346,804.2211161403197,1836
92,92,0,0,5,3,decentralheft,53.60650262688288,2417.653268472418,1836
93,93,0,0,5,2,decentralheft,66.09827006508009,760.130105748421,1836
94,94,0,0,5,2,decentralheft,66.09117139222857,760.0484710106285,1836
95,95,0,0,5,1,decentralheft,109.1412866152107,3274.238598456321,1836
96,96,0,0,5,3,decentralheft,53.609409677371275,2417.7843764494446,1836
97,97,0,0,5,0,decentralheft,16.905762229368044,309.37544879743524,1836
98,98,0,0,5,1,decentralheft,108.96859922495277,3269.057976748583,1836
99,99,0,0,5,2,decentralheft,65.54705972769972,753.7911868685468,1836
100,100,0,0,5,2,decentralheft,66.32435702160183,762.730105748421,1836
101,101,0,0,5,3,decentralheft,53.58122647032386,2416.513313811606,1836
102,102,0,0,5,3,decentralheft,53.65445446962008,2419.8158965798657,1836
103,103,0,0,5,1,decentralheft,119.93501418788635,3598.0504256365907,1836
104,104,0,0,5,1,decentralheft,120.04220134698004,3601.2660404094013,1836
105,105,0,0,5,0,decentralheft,16.67069561248162,305.0737297084137,1836
106,106,0,0,5,3,decentralheft,36.3150942419914,1637.8107503138124,1836
107,107,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
108,108,0,0,5,3,decentralheft,36.47397032530884,1644.9760616714289,1836
109,109,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
110,110,0,0,5,0,decentralheft,5.692110176852023,104.16561623639203,1836
111,111,0,0,5,1,decentralheft,111.5160393163163,3345.481179489489,1836
112,112,0,0,5,3,decentralheft,36.4628620607896,1644.4750789416107,1836
113,113,0,0,5,2,decentralheft,70.46412003628164,810.3373804172389,1836
114,114,0,0,5,2,decentralheft,71.29020699280339,819.8373804172389,1836
115,115,0,0,5,3,decentralheft,36.4685010055331,1644.729395349543,1836
