,job_id,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,workflow_type,scheduler_type,slowdown,response_time,num_activation_dags
0,0,50,0,100,0,centralheft,9.811324524766915,179.54723880323456,59
2,2,50,0,100,2,centralheft,67.78249590146557,779.498702866854,59
3,3,50,0,100,3,centralheft,22.415080682058473,1010.9201387608372,59
1,1,50,0,100,1,centralheft,91.17720879231662,2735.3162637694986,59
4,4,50,0,100,0,centralheft,8.081390129077135,147.88943936211157,59
6,6,50,0,100,3,centralheft,21.498787686098535,969.5953246430439,59
8,8,50,0,100,0,centralheft,7.774117685674287,142.26635364783945,59
5,5,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
10,10,50,0,100,0,centralheft,4.786635813201595,87.5954353815892,59
12,12,50,0,100,0,centralheft,3.15936942490959,57.8164604758455,59
9,9,50,0,100,3,centralheft,18.410705985483855,830.3228399453219,59
11,11,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
13,13,50,0,100,0,centralheft,3.159369424909592,57.81646047584553,59
7,7,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
15,15,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
18,18,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
14,14,50,0,100,3,centralheft,17.475475681097564,788.1439532175002,59
16,16,50,0,100,0,centralheft,3.1593694249095887,57.816460475845474,59
20,20,50,0,100,3,centralheft,17.579237808513334,792.8236251639514,59
22,22,50,0,100,3,centralheft,17.72293937283289,799.3045657147634,59
19,19,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
23,23,50,0,100,3,centralheft,20.35519382680917,918.0192415890936,59
25,25,50,0,100,3,centralheft,20.286155038693646,914.9055922450834,59
17,17,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
24,24,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
26,26,50,0,100,3,centralheft,20.5775945221072,928.0495129470348,59
27,27,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
21,21,50,0,100,0,centralheft,3.159369424909595,57.81646047584559,59
29,29,50,0,100,3,centralheft,21.187135092175097,955.539792657097,59
32,32,50,0,100,3,centralheft,24.066673514605927,1085.4069755087273,59
30,30,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
28,28,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
34,34,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
35,35,50,0,100,2,centralheft,65.49827006508009,753.2301057484211,59
31,31,50,0,100,0,centralheft,3.159369424909595,57.81646047584559,59
36,36,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
39,39,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
40,40,50,0,100,1,centralheft,83.62095654463968,2508.6286963391904,59
38,38,50,0,100,0,centralheft,6.568021264829924,120.19478914638762,59
37,37,50,0,100,2,centralheft,65.49827006508009,753.2301057484211,59
41,41,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
33,33,50,0,100,3,centralheft,17.768158607926836,801.3439532175003,59
43,43,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
44,44,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
47,47,50,0,100,1,centralheft,84.81050953560678,2544.3152860682035,59
46,46,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
48,48,50,0,100,1,centralheft,84.04947639650688,2521.4842918952063,59
49,49,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
50,50,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
42,42,50,0,100,0,centralheft,3.8018778870502397,69.57436533301939,59
52,52,50,0,100,1,centralheft,83.33823373594018,2500.1470120782055,59
51,51,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
53,53,50,0,100,0,centralheft,7.928505520743326,145.09165102960287,59
56,56,50,0,100,0,centralheft,8.37296141099875,153.22519382127712,59
55,55,50,0,100,2,centralheft,65.49827006508006,753.2301057484208,59
57,57,50,0,100,0,centralheft,11.167075791097693,204.35748697708777,59
45,45,50,0,100,3,centralheft,17.768158607926825,801.3439532174998,59
58,58,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
54,54,50,0,100,1,centralheft,83.40823373594019,2502.2470120782054,59
62,62,50,0,100,1,centralheft,83.65047731177017,2509.5143193531053,59
61,61,50,0,100,2,centralheft,66.09827006508007,760.1301057484209,59
64,64,50,0,100,2,centralheft,65.92287770787021,758.1130936405075,59
63,63,50,0,100,1,centralheft,83.89093588077634,2516.72807642329,59
65,65,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
60,60,50,0,100,3,centralheft,17.841754182380118,804.6631136253434,59
67,67,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
68,68,50,0,100,3,centralheft,17.619599849611976,794.6439532175002,59
59,59,50,0,100,0,centralheft,3.159369424909595,57.81646047584559,59
69,69,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
72,72,50,0,100,2,centralheft,65.49827006508006,753.2301057484208,59
73,73,50,0,100,2,centralheft,65.49827006508006,753.2301057484208,59
70,70,50,0,100,3,centralheft,17.841754182380114,804.6631136253432,59
66,66,50,0,100,1,centralheft,83.68735104957574,2510.6205314872723,59
75,75,50,0,100,3,centralheft,17.619599849611976,794.6439532175002,59
71,71,50,0,100,0,centralheft,3.159369424909595,57.81646047584559,59
78,78,50,0,100,0,centralheft,3.204339431055772,58.63941158832063,59
79,79,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
80,80,50,0,100,0,centralheft,3.627124868606839,66.37638509550516,59
74,74,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
82,82,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
76,76,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
84,84,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
81,81,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
77,77,50,0,100,3,centralheft,17.779669925173913,801.8631136253434,59
87,87,50,0,100,3,centralheft,18.113922138979166,816.9378884679604,59
85,85,50,0,100,1,centralheft,83.18490040260684,2495.547012078205,59
89,89,50,0,100,1,centralheft,83.22376205060527,2496.712861518158,59
88,88,50,0,100,3,centralheft,17.619599849611973,794.6439532175,59
86,86,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
92,92,50,0,100,0,centralheft,3.562346765810134,65.19094581432546,59
83,83,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
90,90,50,0,100,1,centralheft,83.46301804178428,2503.890541253528,59
93,93,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
95,95,50,0,100,1,centralheft,83.18490040260684,2495.547012078205,59
91,91,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
94,94,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
97,97,50,0,100,1,centralheft,83.18490040260684,2495.547012078205,59
100,100,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
99,99,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
102,102,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
96,96,50,0,100,0,centralheft,3.2795365446239475,60.01551876661824,59
98,98,50,0,100,3,centralheft,17.63111116685905,795.1631136253432,59
104,104,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
106,106,50,0,100,0,centralheft,3.382942904859192,61.90785515892321,59
107,107,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
105,105,50,0,100,3,centralheft,18.78132313213625,847.037673259345,59
103,103,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
109,109,50,0,100,3,centralheft,17.768158607926836,801.3439532175003,59
110,110,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
112,112,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
111,111,50,0,100,3,centralheft,17.747943710889945,800.4322613611366,59
113,113,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
101,101,50,0,100,1,centralheft,83.18490040260684,2495.547012078205,59
114,114,50,0,100,3,centralheft,17.768158607926825,801.3439532174998,59
115,115,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
116,116,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
118,118,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
119,119,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
108,108,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
122,122,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
123,123,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
117,117,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
124,124,50,0,100,0,centralheft,3.4997771443994794,64.04592174251047,59
126,126,50,0,100,0,centralheft,3.831998903450707,70.12557993314795,59
120,120,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
125,125,50,0,100,3,centralheft,17.842634535939553,804.7028175708738,59
128,128,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
130,130,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
129,129,50,0,100,3,centralheft,18.022054717372587,812.7946677535037,59
131,131,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
121,121,50,0,100,1,centralheft,83.18490040260684,2495.547012078205,59
133,133,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
135,135,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
136,136,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
134,134,50,0,100,1,centralheft,83.18490040260683,2495.5470120782047,59
137,137,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
138,138,50,0,100,1,centralheft,83.18490040260684,2495.547012078205,59
127,127,50,0,100,0,centralheft,5.460409434743796,99.92549265581147,59
141,141,50,0,100,0,centralheft,5.770338876233707,105.59720143507684,59
142,142,50,0,100,0,centralheft,3.7266574026283,68.19783046809789,59
139,139,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
143,143,50,0,100,0,centralheft,3.248304419002835,59.44397086775189,59
140,140,50,0,100,1,centralheft,83.18490040260684,2495.547012078205,59
132,132,50,0,100,3,centralheft,18.342862829830242,827.263113625344,59
147,147,50,0,100,3,centralheft,18.74243929788088,845.2840123344276,59
148,148,50,0,100,3,centralheft,19.401448645111216,875.0053338945158,59
146,146,50,0,100,1,centralheft,83.53136337740814,2505.9409013222444,59
144,144,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
150,150,50,0,100,1,centralheft,84.0104548332181,2520.313644996543,59
152,152,50,0,100,1,centralheft,85.71918258032632,2571.5754774097895,59
151,151,50,0,100,2,centralheft,66.09827006508006,760.1301057484206,59
154,154,50,0,100,2,centralheft,65.95263727946875,758.4553287138906,59
145,145,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
153,153,50,0,100,1,centralheft,84.20316079177223,2526.094823753167,59
155,155,50,0,100,2,centralheft,65.49827006508005,753.2301057484206,59
156,156,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
158,158,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
159,159,50,0,100,0,centralheft,4.8062953930477175,87.95520569277323,59
160,160,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
161,161,50,0,100,0,centralheft,3.1593694249095825,57.81646047584536,59
162,162,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
163,163,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
149,149,50,0,100,3,centralheft,17.835102297679473,804.3631136253443,59
157,157,50,0,100,1,centralheft,83.18490040260683,2495.5470120782047,59
164,164,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
167,167,50,0,100,1,centralheft,83.66520214422987,2509.956064326896,59
168,168,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
165,165,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
171,171,50,0,100,0,centralheft,3.396074869147834,62.14817010540537,59
170,170,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
169,169,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
166,166,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
174,174,50,0,100,1,centralheft,83.21855876367414,2496.5567629102243,59
172,172,50,0,100,0,centralheft,4.627671810861256,84.68639413876099,59
175,175,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
177,177,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
176,176,50,0,100,1,centralheft,85.11027422005854,2553.3082266017564,59
179,179,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
180,180,50,0,100,1,centralheft,84.46151333234023,2533.845399970207,59
181,181,50,0,100,0,centralheft,3.429074689253414,62.75206681333748,59
182,182,50,0,100,1,centralheft,83.49191813120554,2504.7575439361663,59
184,184,50,0,100,1,centralheft,85.32974469934943,2559.892340980483,59
183,183,50,0,100,0,centralheft,3.274643361899934,59.9259735227688,59
173,173,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
187,187,50,0,100,2,centralheft,66.09827006508006,760.1301057484206,59
188,188,50,0,100,2,centralheft,65.59346693362268,754.3248697366607,59
186,186,50,0,100,0,centralheft,3.8902533128762884,71.19163562563608,59
178,178,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
189,189,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
192,192,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
193,193,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
190,190,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
185,185,50,0,100,1,centralheft,83.18490040260683,2495.5470120782047,59
196,196,50,0,100,1,centralheft,83.41736803804949,2502.5210411414846,59
195,195,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
191,191,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
194,194,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
197,197,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
198,198,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
200,200,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
201,201,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
203,203,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
204,204,50,0,100,1,centralheft,83.18490040260683,2495.5470120782047,59
199,199,50,0,100,3,centralheft,17.768158607926825,801.3439532174998,59
207,207,50,0,100,3,centralheft,18.045745313200538,813.8631136253443,59
208,208,50,0,100,3,centralheft,18.585079844601317,838.1871009915194,59
205,205,50,0,100,2,centralheft,66.09827006508006,760.1301057484206,59
210,210,50,0,100,2,centralheft,66.0979626007561,760.1265699086953,59
202,202,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
211,211,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
206,206,50,0,100,1,centralheft,83.18490040260686,2495.5470120782056,59
209,209,50,0,100,3,centralheft,17.76260876112585,801.093655126776,59
212,212,50,0,100,0,centralheft,3.449400809434839,63.124034812657555,59
215,215,50,0,100,3,centralheft,17.86292647489329,805.6179840176874,59
216,216,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
218,218,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
214,214,50,0,100,1,centralheft,83.49178479787221,2504.7535439361664,59
220,220,50,0,100,1,centralheft,83.50282708991726,2505.084812697518,59
213,213,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
217,217,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
222,222,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
224,224,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
219,219,50,0,100,0,centralheft,3.6068008860161545,66.00445621409563,59
223,223,50,0,100,3,centralheft,17.63111116685906,795.1631136253436,59
227,227,50,0,100,3,centralheft,18.391821488292997,829.4711491220141,59
228,228,50,0,100,3,centralheft,18.668189571029316,841.9353496534222,59
225,225,50,0,100,2,centralheft,65.49827006508009,753.230105748421,59
226,226,50,0,100,0,centralheft,3.1593694249095576,57.816460475844906,59
221,221,50,0,100,1,centralheft,83.18490040260683,2495.5470120782047,59
232,232,50,0,100,1,centralheft,83.18490040260683,2495.5470120782047,59
