,job_id,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,workflow_type,scheduler_type,slowdown,response_time,num_activation_dags
0,0,0,20000,20,0,centralheft,13.277681771069512,242.98157641057207,910
2,2,0,20000,20,2,centralheft,142.68622796190348,1640.89162156189,910
3,3,0,20000,20,3,centralheft,48.721898179319396,2197.3576078873048,910
1,1,0,20000,20,1,centralheft,118.46451433745953,3553.935430123786,910
4,4,0,20000,20,0,centralheft,13.346995438379642,244.25001652234747,910
6,6,0,20000,20,3,centralheft,48.620236032455566,2192.772645063746,910
8,8,0,20000,20,0,centralheft,13.70084149614716,250.72539937949304,910
5,5,0,20000,20,2,centralheft,79.1997830630664,910.7975052252636,910
10,10,0,20000,20,0,centralheft,14.02137790853787,256.59121572624304,910
12,12,0,20000,20,0,centralheft,15.26185395308824,279.2919273415148,910
9,9,0,20000,20,3,centralheft,47.91917515793843,2161.1547996230233,910
11,11,0,20000,20,2,centralheft,85.78685115432017,986.548788274682,910
13,13,0,20000,20,0,centralheft,15.310008127210288,280.1731487279483,910
7,7,0,20000,20,1,centralheft,123.60773431291047,3708.232029387314,910
15,15,0,20000,20,2,centralheft,84.26959689859778,969.1003643338745,910
18,18,0,20000,20,2,centralheft,84.90134270471262,976.3654411041952,910
14,14,0,20000,20,3,centralheft,47.45565954221513,2140.2502453539023,910
16,16,0,20000,20,0,centralheft,14.986691557703008,274.25645550596505,910
20,20,0,20000,20,3,centralheft,47.46621241115726,2140.7261797431925,910
22,22,0,20000,20,3,centralheft,47.05200022143617,2122.045209986771,910
19,19,0,20000,20,2,centralheft,77.63542680005635,892.807408200648,910
23,23,0,20000,20,3,centralheft,47.3955576371993,2137.5396494376887,910
25,25,0,20000,20,3,centralheft,47.4256523186006,2138.896919568887,910
17,17,0,20000,20,1,centralheft,127.74015784877638,3832.2047354632914,910
24,24,0,20000,20,2,centralheft,76.9542601633477,884.9739918784985,910
26,26,0,20000,20,3,centralheft,47.416143699713565,2138.468080857082,910
27,27,0,20000,20,1,centralheft,127.41445314589811,3822.4335943769433,910
21,21,0,20000,20,0,centralheft,14.046483708946656,257.05065187372384,910
29,29,0,20000,20,3,centralheft,48.268584463591544,2176.9131593079787,910
32,32,0,20000,20,3,centralheft,49.03374578311975,2211.4219348187007,910
30,30,0,20000,20,1,centralheft,128.55145676372587,3856.543702911776,910
28,28,0,20000,20,2,centralheft,72.54518764622979,834.2696579316427,910
34,34,0,20000,20,1,centralheft,127.84556733581559,3835.3670200744677,910
35,35,0,20000,20,2,centralheft,72.21940318567435,830.523136635255,910
31,31,0,20000,20,0,centralheft,8.657028941145875,158.42362962296951,910
36,36,0,20000,20,1,centralheft,127.54996465342381,3826.4989396027145,910
39,39,0,20000,20,1,centralheft,120.29788961378463,3608.936688413539,910
40,40,0,20000,20,1,centralheft,127.26176750885784,3817.853025265735,910
38,38,0,20000,20,0,centralheft,8.923628323768584,163.3023983249651,910
37,37,0,20000,20,2,centralheft,67.53598415422057,776.6638177735365,910
41,41,0,20000,20,1,centralheft,126.59118682999194,3797.735604899758,910
33,33,0,20000,20,3,centralheft,36.01812997105678,1624.4176616946609,910
43,43,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
44,44,0,20000,20,1,centralheft,125.91917400602294,3777.575220180688,910
47,47,0,20000,20,1,centralheft,125.5624642210564,3766.873926631692,910
46,46,0,20000,20,2,centralheft,69.3993920529555,798.0930086089884,910
48,48,0,20000,20,1,centralheft,125.13327689025327,3753.998306707598,910
49,49,0,20000,20,2,centralheft,73.2122382601593,841.940739991832,910
50,50,0,20000,20,1,centralheft,124.8582760729939,3745.748282189817,910
42,42,0,20000,20,0,centralheft,8.013304141753546,146.64346579408988,910
52,52,0,20000,20,1,centralheft,124.60390551337649,3738.1171654012946,910
51,51,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
